"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"ASOPA";"493651S-0711738W";-49,6141666666667;-71,2938888888889;"W48-UW48-UL670-STAR ECA- Z116-UZ116 -TMA ECA"
"ASOTA";"310840S-0680609W";-31,1444444444444;-68,1025;"W3-SID JUA-STAR JUA-TMA JUA- Z119"
"ASUPI";"423953S-0645353W";-42,6647222222222;-64,8980555555556;"IAC DRY"
"ASUTO";"425608S-0702532W";-42,9355555555556;-70,4255555555556;"W40-TMA ESQ"
"ATACA";"265745S-0650741W";-26,9625;-65,1280555555555;"IAC TUC"
"ATAGU";"323839S-0604333W";-32,6441666666667;-60,7258333333333;"SID ROS-IAC ROS-STAR ROS"
"ATAKO";"413849S-0704813W";-41,6469444444444;-70,8036111111111;"W39-UW39-STAR BAR-SID BAR- TMA BAR"
"ATEXI";"501814S-0722734W";-50,3038888888889;-72,4594444444444;"STAR ECA-IAC ECA"
"ATIPI";"305336S-0582232W";-30,8933333333333;-58,3755555555556;"UM418 - UZ103"
"ATIPO";"500958S-0714326W";-50,1661111111111;-71,7238888888889;"STAR ECA-IAC ECA"
"ATIRA";"412413S-0702947W";-41,4036111111111;-70,4963888888889;"W38-UW38- SID BAR-STAR BAR- TMA BAR"
"ATITO";"380052S-0600015W";-38,0144444444444;-60,0041666666667;"UP664-W18-UW18-TMA DIL"
"ATOKI";"524348S-0621351W";-52,73;-62,2308333333333;"UW46-CTR  MOUNT PLEASANT"
"ATOMO";"410801S-0693951W";-41,1336111111111;-69,6641666666667;"W33-UW33"
"ATOVO";"340340S-0590902W";-34,0611111111111;-59,1505555555556;"W5-UW5-SID AER EZE-TMA BAIRES"
"BISOG";"513636S-0721317W";-51,61;-72,2213888888889;"T659 UT659"
"BISUL";"433122S-0530000W";-43,5227777777778;-53;"AORRA"
"BITAG";"311949S-0682443W";-31,3302777777778;-68,4119444444444;"SID JUA"
"BITIS";"265820S-0640522W";-26,9722222222222;-64,0894444444444;"W7-Z120-SID TUC-STAR TUC- TMA TUC"
"BITUS";"281204S-0573525W";-28,2011111111111;-57,5902777777778;"UP526-W14-UW14-P526"
"BITUT";"450014S-0650957W";-45,0038888888889;-65,1658333333333;"UT109"
"BIVAM";"335816S-0585644W";-33,9711111111111;-58,9455555555556;"W8-UW8-UN775-SID AER EZE- TMA BAIRES"
"BIVID";"280841S-0615521W";-28,1447222222222;-61,9225;"UM529"
"BIVIK";"432337S-0710047W";-43,3936111111111;-71,0130555555556;"T658-TMA ESQ"
"BIXIM";"372050S-0630058W";-37,3472222222222;-63,0161111111111;"T654-UT654-UW41-UT669"
"BIXOL";"271105S-0585634W";-27,1847222222222;-58,9427777777778;"IAC SIS STAR CRS SIS"
"BOBAP";"342642S-0674809W";-34,445;-67,8025;"M424-UM424-SID SRA-TMA SRA"
"BOBIK";"271244S-0582722W";-27,2122222222222;-58,4561111111111;"A307-UL531-SID CRS SIS-STAR SIS CRS -TMA SIS"
"BOBIM";"430701S-0645612W";-43,1169444444444;-64,9366666666667;"STAR TRE-IAC TRE"
"BODAG";"405010S-0624138W";-40,8361111111111;-62,6938888888889;"IAC VIE"
"BODIR";"350913S-0602055W";-35,1536111111111;-60,3486111111111;"W68-UW68"
"BODUN";"464012S-0673837W";-46,67;-67,6436111111111;"UP664-TMA CRV-STAR CRV-SID CRV-W49"
"BOGEG";"372226S-0574237W";-37,3738888888889;-57,7102777777778;"SID MDP"
"BOGOR";"410957S-0590134W";-41,1658333333333;-59,0261111111111;"UT103"
"BOKAS";"365823S-0591159W";-36,9730555555556;-59,1997222222222;"IAC DIL"
"BOKIL";"290649S-0565722W";-29,1136111111111;-56,9561111111111;"UM402-UN785"
"BOKOL";"424504S-0704855W";-42,7511111111111;-70,8152777777778;"STAR ESQ - IAC ESQ"
"BOKUK";"482647S-0700210W";-48,4463888888889;-70,0361111111111;"W48-UW48-T658-UT658-STAR-ECA-SID ECA"
"BONTA";"550000S-0665000W";-55;-66,8333333333333;"W56-UW56-Z133-UZ133"
"BRANC";"285738S-0655023W";-28,9605555555556;-65,8397222222222;"IAC CAT-STAR CAT"
"BUPLA";"271354S-0614013W";-27,2316666666667;-61,6702777777778;"W7-Z120-UZ120"
"BURMI";"310322S-0670739W";-31,0561111111111;-67,1275;"UM529"
"BURSA";"282150S-0585915W";-28,3638888888889;-58,9875;"A428-UL793-Z110-STAR CRS SIS TMA SIS"
"BUSLO";"280818S-0673855W";-28,1383333333333;-67,6486111111111;"UL322-UL650"
"BUTAR";"385651S-0683100W";-38,9475;-68,5166666666667;"IAC NEU-STAR NEU "
"BUTIL";"221011S-0644712W";-22,1697222222222;-64,7866666666667;"SID JUJ"
"BUTMO";"353753S-0631940W";-35,6313888888889;-63,3277777777778;"UT705-UW68"
"BUTUV";"385658S-0674914W";-38,9494444444444;-67,8205555555556;"IAC NEU STAR NEU "
"BUVOK";"504344S-0710932W";-50,7288888888889;-71,1588888888889;"UW52-W52-UL670-G550 "
"BUXOP";"364049S-0641754W";-36,6802777777778;-64,2983333333333;"IAC OSA"
"CABAL";"305518S-0601244W";-30,9216666666667;-60,2122222222222;"W20-TMA PAR"
"CHATO";"403419S-0710053W";-40,5719444444444;-71,0147222222222;"W44-UW44-UZ108-SID BAR-STAR BAR-TMA BAR"
"COATI";"271030S-0560748W";-27,175;-56,13;"A430-TMA POS"
"CONUS";"430731S-0671732W";-43,1252777777778;-67,2922222222222;"UT110-UW40"
"COSTA";"253043S-0551411W";-25,5119444444444;-55,2363888888889;"SID IGU-STAR IGU "
