"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"GEMAL";"370822S-0591305W";-37,1394444444444;-59,2180555555556;"IAC DIL"
"GEMDO";"494231S-0674816W";-49,7086111111111;-67,8044444444444;"UW45-UZ117"
"GEMIK";"244230S-0623131W";-24,7083333333333;-62,5252777777778;"UL404-UM789"
"GEMIL";"550001S-0580427W";-55,0002777777778;-58,0741666666667;"UT103"
"GEMOB";"410509S-0712102W";-41,0858333333333;-71,3505555555555;"SID BAR"
"GEMOP";"310119S-0631125W";-31,0219444444444;-63,1902777777778;"UM400-W25-SID CBA-STAR CBA- TMA CBA"
"GEMPI";"330717S-0662318W";-33,1213888888889;-66,3883333333333;"IAC UIS"
"GEMSA";"405041S-0630701W";-40,8447222222222;-63,1169444444444;"IAC VIE"
"GEMSU";"301600S-0573818W";-30,2666666666667;-57,6383333333333;"N785-P526-UT667 Z120 -UZ120- UP526-UN785"
"GEMUD";"425811S-0651722W";-42,9697222222222;-65,2894444444444;"STAR TRE"
"GENAS";"312755S-0630851W";-31,4652777777778;-63,1475;"W6-UW6-UT652-UZ111-SID CBA- STAR CBA-TMA CBA"
"GENAX";"390337S-0631507W";-39,0602777777778;-63,2519444444444;"W34-UW34-SID BCA-STAR BCA- TMA BCA"
"GESNI";"341627S-0635407W";-34,2741666666667;-63,9019444444444;"UT700"
"GESPA";"220518S-0652700W";-22,0883333333333;-65,45;"UN525"
"GESTA";"350452S-0582644W";-35,0811111111111;-58,4455555555556;"IAC EZE-STAR EZE"
"GETRA";"240804S-0611840W";-24,1344444444444;-61,3111111111111;"UM784-UM799"
"GEVLU";"453159S-0670125W";-45,5330555555556;-67,0236111111111;"STAR CRV"
"GIBLA";"405503S-0624613W";-40,9175;-62,7702777777778;"IAC VIE"
"GIDPI";"374800S-0690820W";-37,8;-69,1388888888889;"Z122-UZ122 LIMITE FIR DOZ-EZE"
"GIGLU";"501116S-0720910W";-50,1877777777778;-72,1527777777778;"STAR ECA"
"GIGPO";"243946S-0650318W";-24,6627777777778;-65,055;"STAR JUJ-IAC JUJ"
"GILNA";"430849S-0650234W";-43,1469444444444;-65,0427777777778;"IAC TRE"
"GILSA";"303059S-0673753W";-30,5163888888889;-67,6313888888889;"W3-UW3-UZ108-Z119"
"GILVO";"463240S-0680633W";-46,5444444444444;-68,1091666666667;"W48-STAR CRV-TMA CRV"
"GUARE";"385715S-0690819W";-38,9541666666667;-69,1386111111111;"B556-STAR NEU"
"GUDUX";"524450S-0671605W";-52,7472222222222;-67,2680555555555;"UT108-T108-UT700"
"GUKAS";"272213S-0600520W";-27,3702777777778;-60,0888888888889;"W7-Z120-SID CRS SIS-STAR CRS SIS-TMA SIS"
"GUVAD";"323514S-0682924W";-32,5872222222222;-68,49;"STAR DOZ"
"GUVOL";"322230S-0701330W";-32,375;-70,225;"UN527-UZ128"
"GUVUM";"431625S-0652954W";-43,2736111111111;-65,4983333333333;"IAC TRE"
"GUVUX";"312834S-0642252W";-31,4761111111111;-64,3811111111111;"IAC CBA"
"GUXOR";"372230S-0530000W";-37,375;-53;"AORRA-UL211F"
"HORNO";"562836S-0671600W";-56,4766666666667;-67,2666666666667;"W100-UW 100 "
"ILKOR";"462551S-0702646W";-46,4308333333333;-70,4461111111111;"Z123- T658"
"ILMEN";"534119S-0672518W";-53,6886111111111;-67,4216666666667;"IAC GRA"
"ILMEV";"271033S-0651009W";-27,1758333333333;-65,1691666666667;"IAC TUC-STAR TUC "
"ILMIS";"244048S-0530327W";-24,68;-53,0575;"STAR IGU"
"ILMOS";"372413S-0592109W";-37,4036111111111;-59,3525;"IAC DIL"
"ILNEL";"425112S-0651828W";-42,8533333333333;-65,3077777777778;"IAC DRY "
"ILNOV";"254248S-0543150W";-25,7133333333333;-54,5305555555556;"SID IGU"
"ILNOX";"433917S-0654753W";-43,6547222222222;-65,7980555555555;"SID DRY-SID TRE "
"ILPAB";"261507S-0542924W";-26,2519444444444;-54,49;"STAR IGU"
"ILPAL";"424904S-0650842W";-42,8177777777778;-65,145;"SID TRE"
"ILPAR";"254158S-0650533W";-25,6994444444444;-65,0925;"UT675-W3-UT677-SID JUJ TUC- STAR JUJ SAL TUC-TMA TUC- TMA SAL"
"ILPEN";"312606S-0640256W";-31,435;-64,0488888888889;"IAC CBA"
"ILPES";"271407S-0583305W";-27,2352777777778;-58,5513888888889;"IAC CRS STAR CRS"
"ILPIK";"495424S-0684231W";-49,9066666666667;-68,7086111111111;"W36"
"ILPOT";"422246S-0643849W";-42,3794444444444;-64,6469444444445;"T693-UT693-STAR TRE-TMA TRE"
"ILRAM";"411543S-0705016W";-41,2619444444444;-70,8377777777778;"IAC BAR-STAR BAR"
"ILRED";"370957S-0572336W";-37,1658333333333;-57,3933333333333;"STAR MDP"
"ILSAS";"261516S-0615047W";-26,2544444444444;-61,8463888888889;"W4-Z118"
"ILSEN";"332922S-0661727W";-33,4894444444444;-66,2908333333333;"IAC UIS- STAR UIS"
"ILSOK";"324932S-0641734W";-32,8255555555556;-64,2927777777778;"IAC TRC"
"ILSUR";"310220S-0694134W";-31,0388888888889;-69,6927777777778;"UL322-UL416"
"ILTAV";"260855S-0642633W";-26,1486111111111;-64,4425;"Z132- TMA TUC"
"ILTIM";"245451S-0644800W";-24,9141666666667;-64,8;"STAR JUJ"
"ILTIP";"521318S-0685402W";-52,2216666666667;-68,9005555555556;"STAR GAL"
"ILTOK";"245817S-0653041W";-24,9713888888889;-65,5113888888889;"SID SAL"
"ILTOS";"392657S-0680638W";-39,4491666666667;-68,1105555555555;"T105- STAR NEU-SID NEU-TMA NEU"
"ILTUH";"330305S-0684746W";-33,0513888888889;-68,7961111111111;"IAC DOZ"
"ILVUB";"405344S-0625234W";-40,8955555555556;-62,8761111111111;"IAC VIE"
"IMBAK";"305601S-0584659W";-30,9336111111111;-58,7830555555556;"A428-Z110-UM418-UL793"
"IMBER";"243724S-0631528W";-24,6233333333333;-63,2577777777778;"UM789-UL417"
"IMBOD";"344701S-0584502W";-34,7836111111111;-58,7505555555556;"IAC EZE"
"IMBOL";"274456S-0645554W";-27,7488888888889;-64,9316666666667;"W5-UW5-UN525-STAR TUC-SID TUC-TMA TUC"
"IMDAD";"330555S-0604314W";-33,0986111111111;-60,7205555555556;"IAC ROS STAR ROS"
"IRASU";"352314S-0614437W";-35,3872222222222;-61,7436111111111;"UZ113-UW15-UW68-UW73-W68- W73"
"IRATI";"320725S-0651119W";-32,1236111111111;-65,1886111111111;"W23"
"IRATU";"274958S-0561318W";-27,8327777777778;-56,2216666666667;"N785-TMA POS"
"IRAVO";"311548S-0640335W";-31,2633333333333;-64,0597222222222;"SID CBA"
"IRAVU";"504605S-0684519W";-50,7680555555556;-68,7552777777778;"W18-UT109-UZ117-STAR GAL- SID GAL-TMA GAL"
"IREKA";"293317S-0604933W";-29,5547222222222;-60,8258333333333;"W14-UW14"
"IREMO";"395211S-0615453W";-39,8697222222222;-61,9147222222222;"UP664-UT694"
"IRETI";"310818S-0641245W";-31,1383333333333;-64,2125;"IAC CBA-STAR CBA"
"IREXA";"344953S-0635922W";-34,8313888888889;-63,9894444444444;"UT700-UM424"
"IRILI";"242950S-0650058W";-24,4972222222222;-65,0161111111111;"SID JUJ"
"IRINU";"424257S-0644832W";-42,7158333333333;-64,8088888888889;"IAC DRY"
"IRIRO";"582106S-0530000W";-58,3516666666667;-53;"AORRA"
"IRIXA";"385105S-0682518W";-38,8513888888889;-68,4216666666667;"IAC NEU-STAR NEU"
"IROKA";"331308S-0642500W";-33,2188888888889;-64,4166666666667;"IAC TRC"
"IROLA";"425901S-0694506W";-42,9836111111111;-69,7516666666667;"W39-W40-UW39-UW40"
"ISAXO";"501545S-0714550W";-50,2625;-71,7638888888889;"IAC ECA-SID ECA"
"ISEGA";"350518S-0682207W";-35,0883333333333;-68,3686111111111;"W37-SID SRA-TMA SRA"
"ISELU";"344207S-0652409W";-34,7019444444445;-65,4025;"UM424-UZ114"
"ISEXU";"452832S-0672315W";-45,4755555555556;-67,3875;"STAR CRV-SID CRV"
"ISIPO";"330040S-0660102W";-33,0111111111111;-66,0172222222222;"W23-UT685-Z104-SID UIS-STAR UIS-TMA UIS-UZ125"
"ISKES";"445137S-0672920W";-44,8602777777778;-67,4888888888889;"T105-UT105-SID CRV-TMA CRV"
"ISKUK";"283543S-0624315W";-28,5952777777778;-62,7208333333333;"UM529"
"ISLOB";"240509S-0615729W";-24,0858333333333;-61,9580555555556;"UN775"
"ISMIL";"382016S-0663959W";-38,3377777777778;-66,6663888888889;"UT655-UZ109-Z109-T655"
"ISMOS";"430347S-0654449W";-43,0630555555556;-65,7469444444445;"SID TRE"
"ISODA";"372507S-0590839W";-37,4186111111111;-59,1441666666667;"IAC DIL"
"ISOPO";"311842S-0612338W";-31,3116666666667;-61,3938888888889;"UT672-T672-UL404-TMA PAR"
"ISORO";"355830S-0694229W";-35,975;-69,7080555555556;"W44-STAR MLG-TMA MLG"
"ISOSO";"513658S-0692755W";-51,6161111111111;-69,4652777777778;"IAC GAL"
"ISTER";"354016S-0573614W";-35,6711111111111;-57,6038888888889;"W27"
"ISUBA";"255327S-0541934W";-25,8908333333333;-54,3261111111111;"IAC IGU-STAR IGU"
"ISUSA";"313821S-0675028W";-31,6391666666667;-67,8411111111111;"W66-STAR JUA-SID JUA-TMA JUA"
"ISVOR";"385038S-0620253W";-38,8438888888889;-62,0480555555556;"IAC BCA"
"ITADO";"284335S-0593032W";-28,7263888888889;-59,5088888888889;"W20-TMA RCQ"
"ITELA";"285828S-0652327W";-28,9744444444444;-65,3908333333333;"UZ102-Z102-STAR CAT-TMA CAT"
"IVREG";"342549S-0682654W";-34,4302777777778;-68,4483333333333;"IAC SRA"
"IVREK";"375303S-0574018W";-37,8841666666667;-57,6716666666667;"IAC MDP"
"IVROR";"424428S-0644130W";-42,7411111111111;-64,6916666666667;"STAR TRE"
"JOALI";"255059S-0541212W";-25,8497222222222;-54,2033333333333;"IAC IGU-SID IGU-STAR IGU"
"KABAK";"331858S-0670303W";-33,3161111111111;-67,0508333333333;"W10-W9-STAR UIS"
"KABES";"490000S-0584003W";-49;-58,6675;"UT103"
"KABIS";"343022S-0583039W";-34,5061111111111;-58,5108333333333;"IAC AER"
"KABIT";"454455S-0671123W";-45,7486111111111;-67,1897222222222;"IAC CRV"
"KADAT";"232330S-0670800W";-23,3916666666667;-67,1333333333333;"UM789"
"KADEB";"504305S-0685956W";-50,7180555555556;-68,9988888888889;"W36-UP664-STAR GAL-SID GAL-TMA GAL"
"KADIV";"474128S-0701136W";-47,6911111111111;-70,1933333333333;"UT658-UT110-SID ECA"
"KAGEN";"620002S-0594004W";-62,0005555555556;-59,6677777777778;"W56-UW56-Z133-UZ133-"
"KAKAN";"290341S-0662214W";-29,0613888888889;-66,3705555555556;"W3-UW3-UM799-SID CAT-STAR CAT-TMA LAR-TMA CAT-Z119"
"KAKIN";"400959S-0400000W";-40,1663888888889;-40;"UL211F"
"KAKOG";"431811S-0653618W";-43,3030555555556;-65,605;"STAR TRE-IAC TRE"
"KALIM";"361810S-0584448W";-36,3027777777778;-58,7466666666667;"W18-TMA DIL"
"KALOM";"251115S-0580937W";-25,1875;-58,1602777777778;"UM789-M789"
"KAMAD";"432759S-0641903W";-43,4663888888889;-64,3175;"UT109"
"KAMIL";"253514S-0534558W";-25,5872222222222;-53,7661111111111;"SID IGU-STAR IGU"
"KAMOV";"434554S-0653254W";-43,765;-65,5483333333333;"SID DRY TRE-STAR TRE"
"KAMUR";"370900S-0710850W";-37,15;-71,1472222222222;"R683"
"KAMUV";"325435S-0674212W";-32,9097222222222;-67,7033333333333;"W64-UT670-SID DOZ-TMA DOZ"
"KETIS";"401359S-0295958W";-40,2330555555556;-29,9994444444444;"UL211F"
"KEXAK";"260115S-0542310W";-26,0208333333333;-54,3861111111111;"STAR IGU"
"KEXEV";"330728S-0684750W";-33,1244444444444;-68,7972222222222;"IAC DOZ STAR DOZ"
"KEXOP";"543000S-0680635W";-54,5;-68,1097222222222;"W42-UW42-Z130-UZ130-SID USU- TMA USU-TMA GRA"
"KEXOS";"273240S-0584638W";-27,5444444444444;-58,7772222222222;"IAC CRS"
"KEXUS";"330930S-0642046W";-33,1583333333333;-64,3461111111111;"IAC TRC"
"KIBAR";"503528S-0712559W";-50,5911111111111;-71,4330555555556;"G550-W52-SID ECA-TMA ECA-"
"KIBIG";"383516S-0621116W";-38,5877777777778;-62,1877777777778;"IAC BCA STAR BCA"
"KIBOS";"243946S-0651907W";-24,6627777777778;-65,3186111111111;"SID SAL"
"KIBUN";"313215S-0675008W";-31,5375;-67,8355555555555;"W24-STAR JUA-SID JUA-TMA JUA"
"KIGIR";"411641S-0632250W";-41,2780555555556;-63,3805555555556;"W18-SID VIE-STAR TRE-TMA VIE"
"KIKAV";"365038S-0642020W";-36,8438888888889;-64,3388888888889;"IAC OSA"
"KIKIN";"380603S-0642842W";-38,1008333333333;-64,4783333333333;"T654-T661-UT654-UT700"
"KIKIP";"331708S-0610726W";-33,2855555555556;-61,1238888888889;"UW24-UT705"
"KIKUG";"425842S-0652935W";-42,9783333333333;-65,4930555555556;"SID TRE"
"KILIP";"294042S-0585306W";-29,6783333333333;-58,885;"A428-Z110-UM400-UL793-SID CRS SIS-STAR CRS SIS"
"KILOS";"401459S-0450000W";-40,2497222222222;-45;"UL211F"
"KIMID";"392222S-0632352W";-39,3727777777778;-63,3977777777778;"T657-UT657-SID BCA-STAR BCA"
"KIMIK";"293204S-0565329W";-29,5344444444444;-56,8913888888889;"UM402"
"KIMIS";"365359S-0670142W";-36,8997222222222;-67,0283333333333;"W65-UZ114"
"KOLNA";"260833S-0540554W";-26,1425;-54,0983333333333;"UL216-R563-SID IGU-STAR IGU- TMA FOZ"
"KOLNO";"405639S-0623835W";-40,9441666666667;-62,6430555555556;"IAC VIE"
"KOLVA";"424233S-0645938W";-42,7091666666667;-64,9938888888889;"IAC DRY-SID DRY"
"KOMVI";"402101S-0690920W";-40,3502777777778;-69,1555555555556;"W30-UW30-UT654-T654"
"KONLO";"384752S-0620635W";-38,7977777777778;-62,1097222222222;"IAC BCA"
"KONRI";"240700S-0673200W";-24,1166666666667;-67,5333333333333;"UL550-SID TUC-STAR TUC"
"KOPLO";"285454S-0654800W";-28,915;-65,8;"SID CAT"
"KOPRO";"344431S-0583822W";-34,7419444444444;-58,6394444444444;"IAC EZE"
"KOPSI";"315557S-0655945W";-31,9325;-65,9958333333333;"UL531-UT653-UZ105"
"KORGA";"400506S-0612743W";-40,085;-61,4619444444444;"W33-UW33"
"KORSI";"273658S-0591426W";-27,6161111111111;-59,2405555555556;"IAC SIS SID CRS SIS STAR SIS"
"KORSO";"262941S-0611635W";-26,4947222222222;-61,2763888888889;"UN775"
"KORTA";"304135S-0574714W";-30,6930555555556;-57,7872222222222;"N785-UN785"
"KOSDU";"332158S-0662209W";-33,3661111111111;-66,3691666666667;"IAC UIS"
"KOSNO";"322556S-0633141W";-32,4322222222222;-63,5280555555556;"UT653-UW15"
"KOTES";"322412S-0681639W";-32,4033333333333;-68,2775;"SID DOZ"
"KOTNI";"341720S-0690222W";-34,2888888888889;-69,0394444444444;"M424-W44-UW44-UZ108-UM424"
"KOTOG";"382703S-0681101W";-38,4508333333333;-68,1836111111111;"W37-STAR NEU-SID NEU-TMA NEU"
"KOTOL";"331415S-0634139W";-33,2375;-63,6941666666667;"W10"
"KOTON";"493736S-0655658W";-49,6266666666667;-65,9494444444445;"UT108"
"KOTUD";"313545S-0680711W";-31,5958333333333;-68,1197222222222;"STAR JUA"
"KOTUK";"363028S-0633841W";-36,5077777777778;-63,6447222222222;"W61-TMA OSA"
"KOVAT";"242845S-0642704W";-24,4791666666667;-64,4511111111111;"UM789-M789-ANTIGRANIZO JUJ SUP"
"KOVEV";"310343S-0641245W";-31,0619444444444;-64,2125;"IAC CBA"
"KOVEX";"375019S-0574539W";-37,8386111111111;-57,7608333333333;"IAC MDP"
"KOVRA";"253939S-0543921W";-25,6608333333333;-54,6558333333333;"IAC IGU-STAR IGU"
"KOVSI";"535205S-0680223W";-53,8680555555556;-68,0397222222222;"IAC GRA"
"KOVSO";"252833S-0540128W";-25,4758333333333;-54,0244444444444;"STAR IGU"
"KOVUK";"351158S-0573114W";-35,1994444444444;-57,5205555555556;"W27-SID AER EZE-STAR AER EZE-TMA BAIRES"
"KOVUN";"332918S-0643252W";-33,4883333333333;-64,5477777777778;"UT670-UZ114"
"KRILL";"611222S-0604111W";-61,2061111111111;-60,6863888888889;"W56-UW56-Z133-UZ133-W100-UW100"
"KUBIR";"240424S-0595648W";-24,0733333333333;-59,9466666666667;"UL793"
"KUBIX";"384832S-0622200W";-38,8088888888889;-62,3666666666667;"IAC BCA"
"KUBSI";"362353S-0642002W";-36,3980555555556;-64,3338888888889;"IAC OSA"
"KUDRA";"244500S-0652747W";-24,75;-65,4630555555556;"IAC SAL"
"KUGLO";"284635S-0603611W";-28,7763888888889;-60,6030555555556;"UN775-UL531"
"KUGRI";"374312S-0685644W";-37,72;-68,9455555555556;"UZ107-Z107"
"KUGSU";"322145S-0653842W";-32,3625;-65,645;"UT684-UT685"
"KUKAS";"473537S-0660759W";-47,5936111111111;-66,1330555555555;"UT700-UZ117"
"KUKEN";"341058S-0581302W";-34,1827777777778;-58,2172222222222;"UL324-UM654-SID AER EZE-STAR AER EZE"
"KULIT";"494842S-0674821W";-49,8116666666667;-67,8058333333333;"W45"
"KULUP";"404743S-0632058W";-40,7952777777778;-63,3494444444444;"IAC VIE"
"KUMOT";"264919S-0644949W";-26,8219444444444;-64,8302777777778;"IAC TUC"
"LAG01";"251730S-0650630W";-25,2916666666667;-65,1083333333333;"ANTIGRANIZO JUJ SUP"
"LAG02";"240530S-0654330W";-24,0916666666667;-65,725;"ANTIGRANIZO JUJ SUP"
"LAG03";"235135S-0651825W";-23,8597222222222;-65,3069444444444;"ANTIGRANIZO JUJ SUP"
"LAG04";"235630S-0652900W";-23,9416666666667;-65,4833333333333;"ANTIGRANIZO JUJ SUP"
"LAG05";"242741S-0642628W";-24,4613888888889;-64,4411111111111;"ANTIGRANIZO JUJI NF
/ANTIGRANIZO JUJ SUP"
"LAG06";"245516S-0644711W";-24,9211111111111;-64,7863888888889;"ANTIGRANIZO JUJ SUP"
"LAG07";"251200S-0643900W";-25,2;-64,65;"ANTIGRANIZO JUJ SUP"
"LAG08";"233550S-0650130W";-23,5972222222222;-65,025;"ANTIGRANIZO JUJ SUP"
"LAG09";"235328S-0644609W";-23,8911111111111;-64,7691666666667;"ANTIGRANIZO JUJ INF"
"LAG10";"240736S-0653834W";-24,1266666666667;-65,6427777777778;"ANTIGRANIZO JUJ SUP"
"LAG11";"230200S-0653800W";-23,0333333333333;-65,6333333333333;"ANTIGRANIZO JUJ SUP"
"LAG12";"245906S-0650442W";-24,985;-65,0783333333333;"ANTIGRANIZO JUJ INF
/ANTIGRANIZO JUJ SUP"
"LAG13";"234932S-0651041W";-23,8255555555556;-65,1780555555556;"ANTIGRANIZO JUJ SUP"
"LAG14";"230400S-0652300W";-23,0666666666667;-65,3833333333333;"ANTIGRANIZO JUJ SUP"
"LAG15";"234530S-0662330W";-23,7583333333333;-66,3916666666667;"ANTIGRANIZO JUJ SUP"
"LAG16";"234900S-0650600W";-23,8166666666667;-65,1;"ANTIGRANIZO JUJ SUP"
"LAJAS";"330840S-0645011W";-33,1444444444444;-64,8363888888889;"W10-TMA VME"
"LANDA";"335429S-0583431W";-33,9080555555556;-58,5752777777778;"W74-N785-UN785-SID AER EZE- TMA BAIRES"
"LANUB";"261502S-0542104W";-26,2505555555556;-54,3511111111111;"STAR IGU-IAC IGU"
"LIMAY";"404446S-0703711W";-40,7461111111111;-70,6197222222222;"W26- UW26-SID BAR-Z109- UZ109-SID BAR-TMA BAR"
"LITOR";"290202S-0652955W";-29,0338888888889;-65,4986111111111;"W 15-UW15-SID CAT-UM543- STAR CAT-TMA CAT"
"LIVAK";"384850S-0622720W";-38,8138888888889;-62,4555555555556;"STAR BCA"
"LIVIN";"513549S-0690415W";-51,5969444444444;-69,0708333333333;"IAC GAL"
"LIVUL";"244630S-0651918W";-24,775;-65,3216666666667;"SID SAL"
"LIVUP";"371941S-0591421W";-37,3280555555556;-59,2391666666667;"IAC DIL"
"LIVUS";"312224S-0641226W";-31,3733333333333;-64,2072222222222;"IAC CBA"
"LIVUX";"423500S-0645519W";-42,5833333333333;-64,9219444444444;"IAC DRY"
"LIXIM";"514012S-0685744W";-51,67;-68,9622222222222;"STAR GAL-IAC GAL"
"LIXOR";"364336S-0602415W";-36,7266666666667;-60,4041666666667;"UW22-UT688"
"LOBID";"535109S-0672649W";-53,8525;-67,4469444444445;"IAC GRA"
"LOGAM";"345757S-0621811W";-34,9658333333333;-62,3030555555556;"M424-UM424-UW15"
"LOGET";"302341S-0641403W";-30,3947222222222;-64,2341666666667;"W6- UW6-UZ112-SID CBA-STAR CBA-TMA CBA"
"LOKAT";"331040S-0643859W";-33,1777777777778;-64,6497222222222;"IAC TRC"
"LOKAV";"275744S-0641912W";-27,9622222222222;-64,32;"IAC SDE"
"LOKEN";"532430S-0682517W";-53,4083333333333;-68,4213888888889;"W63-UW63"
"LOKOT";"312628S-0640442W";-31,4411111111111;-64,0783333333333;"IAC CBA"
"LOLAN";"460000S-0585003W";-46;-58,8341666666667;"UT103"
"LOLAR";"264035S-0651536W";-26,6763888888889;-65,26;"STAR TUC"
"LOLAS";"354035S-0644749W";-35,6763888888889;-64,7969444444444;"B684-UM783"
"LOLIV";"334158S-0670018W";-33,6994444444444;-67,005;"UT688-UW23-W23-W71"
"LOMAD";"323908S-0684725W";-32,6522222222222;-68,7902777777778;"IAC DOZ"
"LOMEK";"390158S-0675539W";-39,0327777777778;-67,9275;"IAC NEU-STAR NEU"
"LOMIN";"503437S-0603303W";-50,5769444444445;-60,5508333333333;"W50-UW50"
"LOMUR";"580001S-0641005W";-58,0002777777778;-64,1680555555556;"W56-UW56-Z133-UZ133-"
"LOMUS";"405442S-0633935W";-40,9116666666667;-63,6597222222222;"W33-UW33-UT693-T693-SID TRE DRY VIE-STAR TRE-TMA VIE"
"LUCHY";"272104S-0590050W";-27,3511111111111;-59,0138888888889;"IAC SIS"
"LUTSO";"272602S-0580128W";-27,4338888888889;-58,0244444444444;"B687-UP779-STAR SIS CRS-SID SIS CRS-TMA SIS"
"LUVLA";"243646S-0645735W";-24,6127777777778;-64,9597222222222;"IAC JUJ"
"MADSA";"263542S-0591654W";-26,595;-59,2816666666667;"UM529 UL793"
"MAGDO";"353116S-0685757W";-35,5211111111111;-68,9658333333333;"B684- STAR MLG-TMA MLG"
"MALDI";"254146S-0543420W";-25,6961111111111;-54,5722222222222;"IAC IGU"
"MAMGO";"431439S-0652330W";-43,2441666666667;-65,3916666666667;"IAC TRE"
"MAMKA";"244903S-0614514W";-24,8175;-61,7538888888889;"UN775-UM789"
"MAMPU";"271753S-0591228W";-27,2980555555556;-59,2077777777778;"IAC SIS STAR CRS SIS"
"MANTI";"490044S-0714320W";-49,0122222222222;-71,7222222222222;"UT659-T659-SID ECA"
"MASDO";"281751S-0574706W";-28,2975;-57,785;"UW14-UZ103"
"MASVI";"250003S-0653518W";-25,0008333333333;-65,5883333333333;"IAC SAL"
"MATEL";"251328S-0535256W";-25,2244444444444;-53,8822222222222;"SID IGU-STAR IGU"
"MATMU";"431329S-0650007W";-43,2247222222222;-65,0019444444444;"STAR TRE-IAC TRE"
"MAVBI";"311534S-0630809W";-31,2594444444444;-63,1358333333333;"UM418-W69-UZ102-STAR CBA-TMA CBA"
"MEBRA";"320331S-0682013W";-32,0586111111111;-68,3369444444444;"W44-UW44-W3-UW3-SID JUA DOZ-STAR JUA DOZ-TMA DOZ-TMA JUA-Z119-UZ128"
"MEXEM";"281605S-0604520W";-28,2680555555556;-60,7555555555556;"UN775-UM529"
"MEXIL";"332708S-0662251W";-33,4522222222222;-66,3808333333333;"IAC UIS"
"MEXUB";"275303S-0642912W";-27,8841666666667;-64,4866666666667;"IAC SDE"
"MIBAS";"304700S-0701730W";-30,7833333333333;-70,2916666666667;"B560-UL416-UT671"
"MIBIP";"424628S-0653336W";-42,7744444444444;-65,56;"SID DRY"
"MIBOK";"544904S-0674032W";-54,8177777777778;-67,6755555555556;"IAC USU-STAR USU"
"MIDAL";"600001S-0620504W";-60,0002777777778;-62,0844444444444;"W56-UW56-Z133-UZ133-"
"MIDOT";"363217S-0640558W";-36,5380555555556;-64,0994444444444;"SID OSA"
"MIGUS";"422741S-0643041W";-42,4613888888889;-64,5113888888889;"W18-STAR TRE-TMA TRE"
"MIGUT";"502436S-0713610W";-50,41;-71,6027777777778;"SID ECA-STAR ECA"
"MIKIM";"455323S-0703303W";-45,8897222222222;-70,5508333333333;"UT658-UZ131-T658-W58"
"MILAX";"360654S-0614727W";-36,115;-61,7908333333333;"UT655-UT688"
"MIMEX";"242745S-0643440W";-24,4625;-64,5777777777778;"M789-STAR JUJ-SID JUJ-TMA SAL"
"MIPAB";"260733S-0654448W";-26,1258333333333;-65,7466666666667;"STAR TUC "
"MIPAT";"425959S-0590003W";-42,9997222222222;-59,0008333333333;"UT103"
"MOCHO";"381716S-0702040W";-38,2877777777778;-70,3444444444444;"W44-UW44-STAR MLG-UT685- UZ108-STAR MLG"
"MOLRI";"274055S-0641538W";-27,6819444444444;-64,2605555555556;"IAC SDE"
"MORPU";"271325S-0585002W";-27,2236111111111;-58,8338888888889;"IAC CRS STAR CRS"
"MORRO";"331347S-0655143W";-33,2297222222222;-65,8619444444444;"W10-SID UIS-STAR UIS-TMA RYD-TMA UIS"
"MORSI";"401459S-0195957W";-40,2497222222222;-19,9991666666667;"UL211F"
"MOSGI";"345942S-0582808W";-34,995;-58,4688888888889;"IAC EZE"
"MOSKA";"503437S-0583039W";-50,5769444444445;-58,5108333333333;"UT103"
"MOTNO";"481028S-0710722W";-48,1744444444444;-71,1227777777778;"Z116-UT110-UZ116"
"MOXAN";"382218S-0610427W";-38,3716666666667;-61,0741666666667;"W18-UW18- SID BCA-STAR BCA- TMA BCA"
"MOXAT";"240605S-0645500W";-24,1013888888889;-64,9166666666667;"N650-SID JUJ-STAR JUJ-TMA SAL"
"MUBAD";"270535S-0650912W";-27,0930555555556;-65,1533333333333;"IAC TUC-STAR TUC"
"MUBEN";"330311S-0683705W";-33,0530555555556;-68,6180555555555;"IAC DOZ-STAR DOZ"
"MUBES";"524809S-0682845W";-52,8025;-68,4791666666667;"W42-UW42-Z130-UZ130-W63- STAR GAL--SID GAL GRA-UW63- TMA GRA-TMA GAL"
"MUBLU";"324631S-0660555W";-32,7752777777778;-66,0986111111111;"UT652"
"MUBOK";"252738S-0652322W";-25,4605555555556;-65,3894444444445;"SID SAL"
"MUBUD";"384518S-0620835W";-38,755;-62,1430555555556;"IAC BCA"
"MUDNO";"364529S-0571246W";-36,7580555555556;-57,2127777777778;"W59-STAR MDP-TMA MDP"
"MUDUL";"265801S-0640445W";-26,9669444444444;-64,0791666666667;"UW6-UM799-UT677-UZ112-UZ120"
"MUGUM";"544925S-0674859W";-54,8236111111111;-67,8163888888889;"IAC USU"
"MULBO";"335129S-0663959W";-33,8580555555556;-66,6663888888889;"UT688-UT685"
"MULSI";"425448S-0652017W";-42,9133333333333;-65,3380555555556;"SID DRY"
"MULTA";"335024S-0600747W";-33,84;-60,1297222222222;"W20-W24-UW24-UT672"
"MUMAB";"425010S-0655639W";-42,8361111111111;-65,9441666666667;"SID TRE"
"MUMAT";"331020S-0683536W";-33,1722222222222;-68,5933333333333;"UT687-UZ108-UW44"
"MUMIN";"245709S-0653027W";-24,9525;-65,5075;"IAC SAL"
"MUMSA";"340229S-0635157W";-34,0413888888889;-63,8658333333333;"UT700-UL405"
